source_csv,station,measurement_column,n,mean,median,std,min,max,iqr,skewness,kurtosis,shapiro_statistic,shapiro_p_value,normaltest_statistic,normaltest_p_value,classification,likely_shape,kde_peak_count,recommendation,alpha,lsl,usl,histogram_kde_plot,qq_plot
data_stn08.csv,data_stn08,L9392MA01_Z,296,0.225472972972973,0.23,0.14219744906748844,-0.17,0.55,0.195,-0.08409618853408478,-0.28248306372183274,0.9934685125109015,0.22748620780626488,1.4753444640655424,0.4782258196356224,Normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn08/L9392MA01_Z_hist_kde.png,distribution_profiles/plots/data_stn08/L9392MA01_Z_qq.png
data_stn08.csv,data_stn08,L9393MA01_Z,296,0.13513513513513514,0.14,0.12067598576766889,-0.18,0.51,0.15999999999999998,0.11986001182489053,0.13001027349991778,0.9952259849621988,0.4952691689279817,1.0596061566283144,0.588720890174535,Normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-1.0,1.0,distribution_profiles/plots/data_stn08/L9393MA01_Z_hist_kde.png,distribution_profiles/plots/data_stn08/L9393MA01_Z_qq.png
data_stn08.csv,data_stn08,H9451DA01_X,296,1.538581081081081,1.55,0.22569068418744445,0.78,2.19,0.24,-0.5285925857718924,1.3195328446620618,0.9659916666450712,1.9401198360149847e-06,22.929445072303857,1.0493835838896916e-05,Non-normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn08/H9451DA01_X_hist_kde.png,distribution_profiles/plots/data_stn08/H9451DA01_X_qq.png
data_stn08.csv,data_stn08,L9451DA02_X,295,1.844949152542373,1.84,0.21417754601093406,1.16,2.52,0.24,0.05044933209925664,0.4173036985491363,0.9938293737409098,0.27202638769631793,2.0955462259385818,0.35071788926580827,Normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn08/L9451DA02_X_hist_kde.png,distribution_profiles/plots/data_stn08/L9451DA02_X_qq.png
data_stn08.csv,data_stn08,H9451DA01_Y,296,0.8023986486486486,0.83,0.2696350135656357,-0.32,1.48,0.365,-0.39876832230136033,0.6058875924077629,0.986687721914581,0.00781373571240235,11.071721408057817,0.003942813579594672,Non-normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn08/H9451DA01_Y_hist_kde.png,distribution_profiles/plots/data_stn08/H9451DA01_Y_qq.png
data_stn08.csv,data_stn08,H9451DA01_Z,296,0.9389864864864865,0.975,0.27193777918665385,-0.1,1.59,0.3599999999999999,-0.7007389061999744,1.1453492749160317,0.9724161488054571,1.8413219831923093e-05,29.372746336307316,4.185903131977483e-07,Non-normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn08/H9451DA01_Z_hist_kde.png,distribution_profiles/plots/data_stn08/H9451DA01_Z_qq.png
data_stn08.csv,data_stn08,L9451DA02_Z,295,0.6311525423728813,0.63,0.19811533897210323,0.0,1.29,0.235,-0.07977832573156184,0.6607472826943885,0.9932989620275227,0.21182467253734222,4.248914927853582,0.11949778254078579,Normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn08/L9451DA02_Z_hist_kde.png,distribution_profiles/plots/data_stn08/L9451DA02_Z_qq.png
data_stn18.csv,data_stn18,H9448DA02_X,572,1.086853146853147,1.09,0.17120636999958191,0.42,1.88,0.22999999999999998,-0.011642343237864365,0.9756954537143039,0.9930114504731397,0.009119715655069104,12.0260341353366,0.00244669518849609,Non-normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn18/H9448DA02_X_hist_kde.png,distribution_profiles/plots/data_stn18/H9448DA02_X_qq.png
data_stn18.csv,data_stn18,L9448DA01_X,308,1.3314285714285716,1.1349999999999998,0.5270196809105026,0.57,3.01,0.3425,1.4629540892353199,1.0017757183670666,0.7818658152652862,5.559743313440586e-20,73.44366748025759,1.1269645143921932e-16,Non-normal,potentially bimodal/multimodal; right-skewed,2,Investigate/stratify possible subpopulations; do not transform mixtures as one population.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn18/L9448DA01_X_hist_kde.png,distribution_profiles/plots/data_stn18/L9448DA01_X_qq.png
data_stn18.csv,data_stn18,H9448DA02_Y,572,-0.2831293706293706,-0.29,0.3344412660944424,-1.69,1.09,0.42,0.13029591936126214,1.61070887986682,0.9851225633658824,1.4075451405104007e-05,24.58404015266759,4.588212348397025e-06,Non-normal,heavy-tailed,1,Prefer robust/non-parametric methods; inspect tails before using 3-sigma or Grubbs' limits.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn18/H9448DA02_Y_hist_kde.png,distribution_profiles/plots/data_stn18/H9448DA02_Y_qq.png
data_stn18.csv,data_stn18,F9392A792_Y,572,0.6101573426573427,0.6,0.22741017294439672,-0.17,1.52,0.3,0.20254596839391223,0.7058051381057484,0.9924402281365894,0.005374984349920581,11.476492124085128,0.003220411727094697,Non-normal,approximately symmetric/unimodal,1,No transform indicated by this screen.,0.05,-2.0,2.0,distribution_profiles/plots/data_stn18/F9392A792_Y_hist_kde.png,distribution_profiles/plots/data_stn18/F9392A792_Y_qq.png
